index,textDisplay
162,いい歌ですね
163,全国の合唱コンクールの課題曲になれ→文部科学省
164,ダンスクラブでアイドルを踊ることになってアイドルの歌詞をちゃんと見てみたらすごく感動して発表会でも元気出そうですあざっす
165,今日はこの声で抜こう
166,泣けたネットの人間がどれだけ愚かで腐ってるかよくわかるアイドルだって恋愛はする女にだけ当たってんじゃねえよ惚れた女を傷つける奴は好きとは言わねえんだよ男が出来た途端嫌いになるのは本気な愛じゃねえんだよ犯人をマジで憎い
167,コメントを絶やすな
168,アイドル越されたなーでも約5ヶ月間ミュージックビデオ一位で凄かった
169,がっこうでも歌ってます❤😂🎉🎉🥹🥰2:20
170,やばい…0:42から雨降ってるの今頃気がついた…やばい…
171,む
172,最高やんこの曲
173,どうせ1位になる推しの子2期までに1位になると思う
174,ラップパートださいってツイート見たけたんだけど何も感じなかったYOASOBIらしい推しの子らしいと思ったけど皆どうなのわからん
175,来週は2位にランキング上がりそうだな
176,ラブ🫶🫶🫶ほんとに好きだわー
177,めっちゃいい歌です
178,10月から1日50万再生数以下に落ちると思うので年内4億再生黄信号点灯予想では2月頃と推定
179,ブームも終わったか?
180,YOASOBIさん毎回流行ってるの凄すぎでしょ…
181,めちゃいい
182,20××年に聞いてる人いる!?みたいなコメントはいらないみんな聞いてる
183,3位になったか…
184,アイちゃんかわいい😊
185,YOASOBIの曲神曲だと思う人手あげて✋あと推しの子の1番くじやった人も手あげて✋
186,一方シーンはchelouそうでなければ良すぎる毎日聴いています
187,止まらなあかんてたから馬太郎太刀魚のようたんフォロワーoshi no ko 😍
188,曼聯個光頭佬帶我嚟呢度
189,YSR50え服きろ普段着はジャージ着だけど
190,1番のひたすら可愛い声から2番で急に冷めた声になる緩急でいつも鳥肌立つ嫉妬や羨望で心の中ぐちゃぐちゃになってるその他の心情を曲と声で見事に表現し切ってるのすごい
191,アニメ見てないけどいつもスーパー行く度にあちこちで有線で流れていて歌詞からこれ多分推しの子の主題歌なんだろなと思っていて口ずさむぐらいには少し覚えた🥺頑張って歌詞を完全に覚えて歌えるようになる🥺
192,コーラス部分でアラビックスケールが使われてるとかそこに惹かれて来ちゃうのかコーラスの歌詞はキリスト教っぽい気もするが
193,私は英語の方が好きでした7/10でも日本語の方が可愛いですI liked this one more 10/10
194,我非常喜歡這首歌
195,02:45この曲の一番いいところ
196,この曲アイドルこれはどの言語に適していますか? I LIKE This Is Song Idol Better In English一つ質問ですが日本語英語ブラジルのどれが好きでしたか
197,3位……だと1位はどこの誰ですか
198,またアラビア語荒らしか……
199,この神すぎじゃ無いこの歌神すぎだと思った人はコメントしたにグットボタンおしてね😊
200,この歌が好きな人は正直に手を挙げてくださいお願いします
201,とても良い音楽
202,こんにちは
203,怪物に勝てるアイドル
204,5ヶ月人気1位だったの草
205,怪物を抜くとは思わなかったぜ
206,文化祭で盛り上がりすぎてもはやフェスだったおいおいって言い過ぎて音源消えかけww
207,リズムが難しすぎる曲作ろうとしたら無理だったのに作れるって天才
208,YOASOBIて割とマジで女性歌手の今はトップだなあいみょんADOあたりより断然上
209,この曲を心から素晴らしい曲だと感じられる感性で本当に良かった何度聴いても飽きない色褪せない
210,初めて聞いた時からめちゃくちゃ最高でした…ほぼ毎日聞いてはカラオケで歌えるようによく練習してます今まで以上に歌うのが楽しいです
211,誰かアイドルのフォント何か教えてください
212,実写化したら誰をキャスティングしたい
213,もう全てが最高
214,つ遂に首位陥落なんか寂しい気分これからの聴き続けます
215,5ヶ月で3億回って単純計算で月に6000万回1日に200万回1時間で8万回1分で1300回くらいってとんでもないなあくまで単純計算だけど
216,本日の再生数は879058回です先週の今日が990188回なので先週比は88.8%です先週は祝日のため低めの先週比率となっています明後日は邦楽ランキングが1つ上がるか注目ですね
217,人気音楽3位か一年は1位だと思ってたな
218,いいね😊
219,歌这么好听这一定是很治愈的番吧
220,今日もコメントの沼の中に沈むのか・・・・(▼ω▼*)
221,このMVを見るとアイドルとかキャバ嬢とか生配信チャットみたいのしている女達が本当にクズだなぁって改めて感じさせてくれる良い曲です
222,南斗政権・・・センターはユリアだ
223,てゆか韓国でTVライブの動画出てるぞ日本のTVでさえ歌ってないのに日本のTV交渉能力って何なの
224,いつ聞いても神曲
225,この曲でNHKのど自慢出る人おるんかな相当勇気いるでー大体は金2つだろう
226,む
227,膜拜经典
228,特有な曲調と誰にも真似できないような声が多くの人を惹きつける
229,この神曲がたとえ相手が誰だろうと絶対に負けてはならない立ち上がれ戦士たちよ今こそ我の[AI]でこの神曲をあるべき場所に変えそうではないか我が立ち上がればどんな敵だろうと負けぬ力がある自分を仲間を信じて戦え
230,ฉันเป็นคนไทยありがとうございます
231,フリーダムさんの替え歌聴いてから聴いたらなんかめっちゃ感動したのなぁぜなぁぜ
232,この曲覚えたい❣️難しければ難しいほどに愛おしい❤
233,NHKのど自慢から
234,人気3位
235,RABが紅白に出る可能性あるのが一番やばい
236,人気で再生回数がすごすぎる😄天才的なアイドル様❗
237,争う
238,この曲好きな人👍
239,やっと人気落ちかのか(現在3位)
240,歴代の全アニソン集めても上位には余裕で入りそう
241,流行りすぎて逆に怖い
242,どうせならりえりーが歌ったら良かったのに
243,324050984回再生おめでとうございます
244,普通に考えて半年近く1位に君臨してたって考えるだけでえぐい
245,これってアニメか曲かどっちが人気なのどっちもある程度人気は人気なんやろうけど
246,ナイシトール
247,高輪ゲートウェイ降りた
248,日比谷線
249,下北沢駅新渋谷駅
250,3億5000万回再生も近い
251,やっっと人気1位から落ちたのかヤバ過ぎた
252,どこまで進化をすればいい時代は変わった今はアイドル時代❤❤😊😊
253,漫画を読んでからこの曲を聞くと涙が出ます止まりませんなんなら聞く度にきっと今年も紅白出るんでしょうイヤ今年一番の人気曲だしNHKが頑張って出演お願いするよね多分私大晦日に今年最後の号泣するんだろうな
254,3.24億再生おめでとう
255,0:32おかずにしてます
256,3位になっちまったじゃねーか😢😢😢😢😢まあ5ヶ月1位おめでとう🎉
257,ついに落ちてしまったか音楽界の王様アイドル落ちてしまっても応援し続けます❤
258,さいたまりそな銀行
259,イオン銀行
260,みずほ銀行
261,三井住友銀行
262,三菱銀行
263,人気3位になってしまった?!
264,やっぱ商談の後はアイドルは癒される今日の取引先様もYOASOBI好きそうな顔してたわうん間違いない
265,俺のタイプ星野愛理由:明るい性格おもしろい
266,今はYOASOBI昔はキョンキョン
267,1位じゃなくなったと思ったらもう3億回……
268,やまと3位になってるうなってるうううう‼️順位下がってるうううぅううう‼️下がってるよね
269,相変わらず3位になっても日本の1位の曲より1日の総再生数が多いと言うギャップ
270,あもえっさむしか
271,アイドルって宗教としての崇拝対象って意味があってまさに宗教だなって毎度思ってる
272,松戸市役所近くのコンビニ
273,口にすれば単純な強がり
274,この曲はとても可愛くて日本的です
275,今日は9月25日HAPPY BIRTHDAY TO IKURA🎉
276,愛ほど歪んだ呪いはない
277,"I knew this song was popular, but 323 million views after only 5 months?すげおめでとう"
278,3位になった
279,MV絵にすればそりゃあ伸びるんだよな海外勢が見るもんだから完全下位互換のノンクレジットopがアニソンにしては全然伸びてないんだよ
280,ノンクレ伸びてないだけだぞ正直
281,誰よりも強い君以外は認めないのダークサイド最後の歌詞嫉妬の中で最後は認めているのすごくリアルな気がする現実でも絶対的なセンターが体調不良で休業した時仮のセンターがいじめられた話など聞いた事ある‥💦歌詞が聞けば聞くほど深すぎて飽きない‥
282,歌詞がいい
283,今更だけど再生数怪物越してて草
284,本当に勝手なのだが好きなプロレスラーであるアンドレ・ザ・ジャイアントの人生と勝手に重ねてしまい一人部屋で号泣していました
285,ずっと1位だったんだからそりゃ残念な気持ちになるわなこれを明鏡止水で受け止めれるような人間ならそもそもYouTubeコメント欄にコメントしないw
286,人気3位になってるぅ……
287,吹奏楽部ですがこの曲文化祭でやるの楽しみすぎる盛り上がってくれたらいいなぁ
288,みんな数字に囚われすぎてて草
289,正直怪物は越してほしくなかった😢
290,このMVちょっとかなりだいぶ凄いね
291,天才現る
292,コメント欄見ると再生数とかランキングとか気にしてる人ばっかで本質的にこの曲を好きになれないこの曲ぶっちぎりで人気だけど人気だから好きって人が多い気がする
293,とてもいいです❤
294,確かにミュージックビデオランキングは残念しかしYouTube楽曲ランキングで見たらアイドル9.64Mmainstream 7.21M唱5.66Mとなってる
295,自分の曲じゃ無いけど順位が落ちても今まで1位だったことが誇らしいねビルボード総合チャート21週連続首位YouTubeMV5ヶ月1位の曲なんて今後数年は出てこないだろうし
296,ついに一位を下回ってしまった…
297,いぉヴぇてぃっそんg
298,マイケル・ジャクソンのスリラーのPVを超えたい…とほのかな期待してる皆さんいる僕も…
299,第二季什么时候能播出期待
300,本日の再生数は1086870回です先週の今日が1056096回なので先週比は102.9%です3日連続で先週比を上回りました‼️本日はついに人気ランキングが1位から陥落してしまいました😢😢😢
301,これがOPじゃなかったら推しの子を見ることは一生ないんだろうなぁ
302,究極の宗教ソング
303,推しの子石my favアニメちゃらcてr
