index,textDisplay
194,もうアイドル全く期間くなったなぁ😢まじで時代早すぎ😂
195,コメント見てみたら今でも数分ごとにコメントされててすごいと思う
196,りらさんにらんま1/2を歌ってほしい
197,今見たら怪物超えてた
198,3.43億再生おめでとう
199,久しぶりに来たら余裕で怪物抜いててびびったた
200,4位に落ちてたからそのまま落ちていくのかと思ってたらまた3位に戻ってるしもう2期来るまで上位で残っちゃえよって
201,色分けしているところペロって舌を出している👅アイは1話の病院🏥でのアイとステージママのアイの違いを表現しているのかもしれないそれとも作中の過去と未来なのか❓アニメの中のアイと片方は星の描かれ方と目の色がなんかおかしい
202,3奥200おめでとうございます🎉
203,いいね🎉
204,再生回数7億回再生越えのlemonより再生回数3.4億再生のアイドルの方がグッド数多いのヤバすぎる
205,アイドル神曲すぎる
206,この曲運動会で歌いますww
207,曲で原作は8割決まる
208,NCTが踊ってくれたので感謝してます
209,楽曲はもちろんだがMVが素晴らしすぎる
210,きゃわいい❤❤❤❤❤❤❤❤❤❤❤❤❤
211,誰もが愛するだろ❤❤❤❤❤
212,推しの子見て知ってる曲だったけど日プ3のリブルーム(ももなこころ)が歌ってからハマってるのは私だけではないはず😉🫶
213,アニメと漫画読んだあとに聞くとむっちゃあつくなる🥺
214,今さらMV初めて見て聴いたけど音の抑揚や変調に歌い方のクセだったりテンポがなんかすごいハマる耳が気持ち良い
215,最後のトットットッって毎回ドアのノックに似てるなぁって思いながら動画3周してる
216,何回聴いても飽きない
217,もうこの曲も半年前か…
218,ランキングがどうであれ俺の中では絶対的1位だな笑これからもずっと聴きます
219,アヤセが税金対策が大変だから法人化したとか言っていたなそれはイクラも同じだろうてゆかサポートも同じだろう幾ら稼いでもいいよそれだけ見合った対価だからなそしてもっと良い曲を作成してもっと稼いでくれ期待してるぞね
220,もうコイツら人生楽勝
221,歌い踊りまう私はまりあそう嘘はとびきりの愛はだっ↑のシーンめっちゃ好き❗😊💓💕✨
222,今のところ最も人気のある曲です
223,今更だけどアイドルって高評価の数えぐくね
224,アイドル夜中しかやってなくて悲しい
225,ふとした時にアイの母ちゃんと父ちゃんは誰なんだろうと思うアイに目があるなら父ちゃんか母ちゃんもしくはどっちも星があるのかなそもそも遺伝なのか
226,実家のような感じがする
227,1話見たらさらにぐっとくる
228,マジ❗️
229,勇者もいいけどアイドルもいい❗
230,米津のlemonの再生数抜くなこれw
231,TREASUREアイドル声良いねアイドルTREASURE10人コメントボタン押す方
232,もう半年経つのに驚き
233,1億2億も十分凄いけどやっぱり3という数字はデカく感じる4になればなおさら
234,MVでは3位だけど楽曲ランキングではまだ1位なんだなadoとの差は余り無いけど
235,様な曲がランキングに入ったり抜けたりしてる中この曲は約半年ずっと上位に君臨してるの異常すぎる…好き
236,アイドルのダンス作れた🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊
237,もう半年も経つのか…
238,さぁあと745万だ
239,中毒性が異常に高過ぎてどんな時でも勝手に脳内再生されてしまう神曲
240,異次元の曲
241,原作でアイツが疑似復活した記念で見に来た
242,人気のミュージックビデオの次がAdoで納得
243,好きです❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
244,今3億4200万回再生
245,この歌は好きだしいいんだけど低俗な内容のショート動画やTikTokの背景でよく流れてるのがすごく嫌そしてそれによく流れてるサビの部分だけ聞いて勘違いしたにわかが勇者の雰囲気はヨアソビと合ってないとかいうコメ書いてんのも見てて腹ただしい
246,人気12位の曲たちを見て1ヶ月で1億を出したアイドルがどれだけ異次元かよく分かりましたまさに日本の至宝
247,祝福が23位から消えてしまい何処にも存在しなくなってしまったどう言う事なんだろうーアドベンチャーとセブンティーンは70位台に入っているのに
248,三位に上がったね
249,人気3位に復帰‼️人気1位は…よかったアイツじゃねぇ
250,夜に駆けるを年齢制限から解放したら人が流れ込んで人気MVランキングXのトレンドで急上昇しそう
251,いい曲です︎✧︎
252,日曜日の朝だからって油断してコメントを絶やすな
253,ヒカキンもやってたよ
